"variable","treatment","amn","s","n","amn.control","rel.red"
"H2S","control",0.975595878572959,0.232988940656215,2,0.975595878572959,0
"H2S","frequentflushing",0.515883412908948,0.098846488229407,2,0.975595878572959,47.1
"H2S","slurryfunnels",0.111459260110677,0.0134327716068261,2,0.975595878572959,88.6
"H2S","slurrytrays",0.302405634656371,0.213889010976232,2,0.975595878572959,69
"MT","control",0.0228024078172359,0.00163920387502526,2,0.0228024078172359,0
"MT","frequentflushing",0.0331654280411236,0.00995531509175905,2,0.0228024078172359,-45.4
"MT","slurryfunnels",0.0141466850621462,0.00421525304251458,2,0.0228024078172359,38
"MT","slurrytrays",0.0196985974928231,0.000520323364937522,2,0.0228024078172359,13.6
"TMA","control",0.0502311420498332,0.00983452257171596,2,0.0502311420498332,0
"TMA","frequentflushing",0.0758186487148864,0.0157613705406282,2,0.0502311420498332,-50.9
"TMA","slurryfunnels",0.0578930587345255,0.000200194840052888,2,0.0502311420498332,-15.3
"TMA","slurrytrays",0.0553462584849545,0.0156834590657873,2,0.0502311420498332,-10.2
"HAC","control",1.32471004419986,0.475749414765717,2,1.32471004419986,0
"HAC","frequentflushing",1.66082462040579,0.24744420918135,2,1.32471004419986,-25.4
"HAC","slurryfunnels",1.4126791356763,0.370815369875615,2,1.32471004419986,-6.6
"HAC","slurrytrays",1.34139419329211,0.472885092720333,2,1.32471004419986,-1.3
"HPA","control",0.46191667910261,0.113156018682406,2,0.46191667910261,0
"HPA","frequentflushing",0.583888436925477,0.0246245432519403,2,0.46191667910261,-26.4
"HPA","slurryfunnels",0.489562304373994,0.0661644278498153,2,0.46191667910261,-6
"HPA","slurrytrays",0.470137526172681,0.103126381252026,2,0.46191667910261,-1.8
"HBA","control",0.325993331957893,0.0630569954609243,2,0.325993331957893,0
"HBA","frequentflushing",0.401545585592677,0.0203395145495101,2,0.325993331957893,-23.2
"HBA","slurryfunnels",0.348517295076145,0.0391470546350959,2,0.325993331957893,-6.9
"HBA","slurrytrays",0.33411916461435,0.0399305497975442,2,0.325993331957893,-2.5
"HPENA","control",0.0842261141354915,0.00769224064089186,2,0.0842261141354915,0
"HPENA","frequentflushing",0.101859945131681,0.00823008954221751,2,0.0842261141354915,-20.9
"HPENA","slurryfunnels",0.0890440912939169,0.00519531140109981,2,0.0842261141354915,-5.7
"HPENA","slurrytrays",0.0876603852330731,0.00871752949418583,2,0.0842261141354915,-4.1
"MP","control",0.0926369998606633,0.00613776950445862,2,0.0926369998606633,0
"MP","frequentflushing",0.093323792867684,0.0199106437025325,2,0.0926369998606633,-0.7
"MP","slurryfunnels",0.0543700610298343,0.0101453841456567,2,0.0926369998606633,41.3
"MP","slurrytrays",0.0609064646004309,0.0162008309559229,2,0.0926369998606633,34.3
"SKAT","control",0.00267759384936165,0.000558986285444903,2,0.00267759384936165,0
"SKAT","frequentflushing",0.00295514308082122,0.000418419388194303,2,0.00267759384936165,-10.4
"SKAT","slurryfunnels",0.0013794681691357,0.000309923377741755,2,0.00267759384936165,48.5
"SKAT","slurrytrays",0.00154741109820116,0.000613042371008222,2,0.00267759384936165,42.2
"OAVE","control",1014.96224964652,136.564303375113,2,1014.96224964652,0
"OAVE","frequentflushing",1060.91712464091,180.954464401819,2,1014.96224964652,-4.5
"OAVE","slurryfunnels",718.898391072481,13.7582098333007,2,1014.96224964652,29.2
"OAVE","slurrytrays",785.241751424212,192.062452554639,2,1014.96224964652,22.6
