"treatment","mean_DM","mean_VS","mean_pH","mean_TN","mean_TAN","sd_DM","sd_VS","sd_pH","sd_TN","sd_TAN"
"control",6.96329930934251,76.8462996504943,6.884375,4.73956083352885,3.43357880427817,1.08918664641929,2.11025411746069,0.14546083378926,0.355124077728856,0.178816895508026
"frequentflushing",8.15361582704152,78.7427971221809,6.82357954545455,4.84993612990862,2.88594615657954,0.507577961296971,1.01101657138764,0.0949975305971646,0.223748374417331,0.0958427020330574
"slurryfunnels",8.6259521888697,79.4383102094833,6.75107517482517,5.19386982396789,3.15367199172512,0.891303014997643,1.17813820378049,0.0941137047407047,0.225266530139514,0.206660204060117
"slurrytrays",8.50828203367513,79.5937614066225,6.82875,5.0405187541907,3.09011175581729,0.981690955056969,1.50853630321229,0.0395783127162538,0.199873563616675,0.173687095096405
