"variable","treatment","period","mn","n"
"H2S","control",1,1.14034393845244,1799
"H2S","control",4,0.81084781869348,1596
"H2S","frequentflushing",1,0.585778435032438,1801
"H2S","frequentflushing",4,0.445988390785458,1597
"H2S","slurryfunnels",1,0.120957664003994,1756
"H2S","slurryfunnels",4,0.10196085621736,1594
"H2S","slurrytrays",1,0.453648004738949,1801
"H2S","slurrytrays",4,0.151163264573794,1598
"MT","control",1,0.0216433156414582,1799
"MT","control",4,0.0239614999930135,1596
"MT","frequentflushing",1,0.026125957230892,1801
"MT","frequentflushing",4,0.0402048988513552,1597
"MT","slurryfunnels",1,0.0111660510513669,1756
"MT","slurryfunnels",4,0.0171273190729255,1594
"MT","slurrytrays",1,0.0200665216725802,1801
"MT","slurrytrays",4,0.0193306733130659,1598
"TMA","control",1,0.0571851996500257,1799
"TMA","control",4,0.0432770844496406,1596
"TMA","frequentflushing",1,0.0646736767248143,1801
"TMA","frequentflushing",4,0.0869636207049585,1597
"TMA","slurryfunnels",1,0.0580346178634855,1756
"TMA","slurryfunnels",4,0.0577514996055656,1594
"TMA","slurrytrays",1,0.0664361387428344,1801
"TMA","slurrytrays",4,0.0442563782270746,1598
"HAC","control",1,1.66111568152623,1799
"HAC","control",4,0.988304406873489,1596
"HAC","frequentflushing",1,1.83579409868326,1801
"HAC","frequentflushing",4,1.48585514212831,1597
"HAC","slurryfunnels",1,1.67488519828354,1756
"HAC","slurryfunnels",4,1.15047307306905,1594
"HAC","slurrytrays",1,1.67577444907668,1801
"HAC","slurrytrays",4,1.00701393750753,1598
"HPA","control",1,0.541930067245011,1799
"HPA","control",4,0.381903290960209,1596
"HPA","frequentflushing",1,0.601300618442545,1801
"HPA","frequentflushing",4,0.566476255408408,1597
"HPA","slurryfunnels",1,0.536347619979926,1756
"HPA","slurryfunnels",4,0.442776988768061,1594
"HPA","slurrytrays",1,0.543058889675218,1801
"HPA","slurrytrays",4,0.397216162670144,1598
"HBA","control",1,0.370581361049562,1799
"HBA","control",4,0.281405302866225,1596
"HBA","frequentflushing",1,0.387163376928676,1801
"HBA","frequentflushing",4,0.415927794256678,1597
"HBA","slurryfunnels",1,0.376198442872102,1756
"HBA","slurryfunnels",4,0.320836147280189,1594
"HBA","slurrytrays",1,0.3623543271527,1801
"HBA","slurrytrays",4,0.305884002075999,1598
"HPENA","control",1,0.0896653496551849,1799
"HPENA","control",4,0.0787868786157981,1596
"HPENA","frequentflushing",1,0.0960403930066062,1801
"HPENA","frequentflushing",4,0.107679497256755,1597
"HPENA","slurryfunnels",1,0.0927177312160104,1756
"HPENA","slurryfunnels",4,0.0853704513718234,1594
"HPENA","slurrytrays",1,0.0938246094536057,1801
"HPENA","slurrytrays",4,0.0814961610125406,1598
"MP","control",1,0.0969770582986259,1799
"MP","control",4,0.0882969414227006,1596
"MP","frequentflushing",1,0.0792448416878341,1801
"MP","frequentflushing",4,0.107402744047534,1597
"MP","slurryfunnels",1,0.0615439309569706,1756
"MP","slurryfunnels",4,0.047196191102698,1594
"MP","slurrytrays",1,0.0723621820302209,1801
"MP","slurrytrays",4,0.0494507471706409,1598
"SKAT","control",1,0.00307285684239002,1799
"SKAT","control",4,0.00228233085633328,1596
"SKAT","frequentflushing",1,0.0026592758940491,1801
"SKAT","frequentflushing",4,0.00325101026759334,1597
"SKAT","slurryfunnels",1,0.00159861709118513,1756
"SKAT","slurryfunnels",4,0.00116031924708626,1594
"SKAT","slurrytrays",1,0.00198089751589576,1801
"SKAT","slurrytrays",4,0.00111392468050657,1598
"OAVE","control",1,1111.52779463108,1799
"OAVE","control",4,918.396704661959,1596
"OAVE","frequentflushing",1,932.962995776405,1801
"OAVE","frequentflushing",4,1188.87125350542,1597
"OAVE","slurryfunnels",1,728.626914542595,1756
"OAVE","slurryfunnels",4,709.169867602367,1594
"OAVE","slurrytrays",1,921.050414036917,1801
"OAVE","slurrytrays",4,649.433088811508,1598
