"time","temp_C"
0,12.5
30,13.9
61,13.8
91,12.1
122,9.9
152,8
183,6.3
213,5.9
244,5.8
274,6.7
289,7.8
304,8.9
334,10.9
365,12.5
395,13.9
426,13.8
456,12.1
487,9.9
517,8
548,6.3
578,5.9
609,5.8
639,6.7
654,7.8
669,8.9
699,10.9
730,12.5
760,13.9
791,13.8
821,12.1
852,9.9
882,8
913,6.3
943,5.9
974,5.8
1004,6.7
1019,7.8
1019,7.8
1034,8.9
1064,10.9
1095,12.5
