"alpha_opt","qhat_opt","C","FF","SF","ST"
0.2,0.2,23.2264062832462,21.8111775236436,26.0794752796419,26.8809850634986
0.3,0.3,41.9108504000837,36.1222700393822,40.8013344602692,42.1037093412288
0.5,0.5,92.1702963869448,76.956911249751,78.3067510510999,82.1314087938604
0.7,0.7,170.420210141602,137.15448770366,127.788762234945,136.478904321448
0.9,0.9,312.121799969871,230.807047783643,194.043292525007,212.872218842777
1,1,434.897143395562,299.053805140505,236.225897624638,263.771925516532
1.25,1.25,675.967700159251,572.603183002325,384.790554320307,455.818327471345
1.5,1.5,750.368117813497,697.559375934525,646.739476002089,732.938000276836
2,2,795.095839210167,843.390753163893,908.084464915575,940.289913927637
3,3,914.937632882178,974.552446158217,1367.25244983799,1391.1538041965
4,4,954.499264865246,1088.70789380759,1847.24546449348,1781.47147640019
5,5,994.431508217937,1149.40870065496,2085.68423240534,1927.17633165977
0.2,1,161.972136950673,151.039858288639,168.836879875144,170.616062183411
0.3,1,227.478614506165,204.65850050193,207.851809812686,216.39218883079
0.5,1,343.490150665658,294.026697058258,244.320810848195,264.461299033041
0.7,1,442.879488510909,330.584264105768,252.980504659622,281.752873724747
0.9,1,457.561822367767,313.89917389347,242.020065711734,270.638341096474
1,1,434.897143395562,299.053805140505,236.225897624638,263.771925516532
1.25,1,367.208652202839,264.861646537259,222.807072426972,247.772602232749
1.5,1,319.6206390542,237.594714715152,210.68895364518,233.466629801367
2,1,260.55346576306,200.45003379995,189.626042356424,208.724113543266
3,1,203.463187100604,160.545229047655,162.42255813844,177.626509268245
4,1,176.342761414896,139.835482190133,145.967612841913,159.266711718652
5,1,160.819812508407,127.324182976213,135.017663790101,147.184940344782
1,0.2,20.6767297133267,19.7463773324159,24.6137054772203,25.3046755029209
1,0.3,34.9846397083287,31.4026394362628,37.7257685809753,38.726182496492
1,0.5,76.7593684221404,66.4710707017902,72.2602584861428,75.3892429857927
1,0.7,148.259414160261,122.600568531446,120.732337858043,128.531602898649
1,0.9,293.311807945442,220.787982307946,189.813960670817,207.946501090327
1,1,434.897143395562,299.053805140505,236.225897624638,263.771925516532
1,1.25,581.789549767382,525.233642455797,416.047395166339,480.09352872883
1,1.5,557.767626854356,531.510115288444,553.162374735495,570.663973091
1,2,514.861769249768,533.078319218029,625.029635291048,637.890245573901
1,3,541.175403406394,540.564796119229,758.322024598694,746.885882935577
1,4,566.095405652261,572.525488864758,813.062598094986,777.848175315345
1,5,577.840753714627,586.801644873499,817.227349793007,767.981938362892
