"","treat","i","parm","scores"
"1","C",7,"slurry_mass_sum",394187.011973868
"2","C",7,"slurry_mass_mean",29385.4206868369
"3","C",7,"rut_m0",639.73890980671
"4","C",7,"rut_m1",1901.40605830349
"5","C",7,"conc_fresh_S2",0.0765938504096741
"6","C",7,"conc_fresh_SO4",0.00342273720026961
"7","C",7,"xa_fresh_m0",0.051734779228404
"8","C",7,"xa_fresh_m1",0.116081335194548
"9","C",7,"conc_fresh_VSd",44.5152425976357
"10","C",7,"cum_inhib_meth_m0",0.906072395814701
"11","C",7,"H2S_inhib_meth",0.935417173893013
"12","C",7,"HAC_inhib",0.967024178208877
"13","FF",7,"slurry_mass_sum",365398.347022268
"14","FF",7,"slurry_mass_mean",24964.6807247064
"15","FF",7,"rut_m0",649.95735334566
"16","FF",7,"rut_m1",1520.07084370972
"17","FF",7,"conc_fresh_S2",0.0713966028309111
"18","FF",7,"conc_fresh_SO4",0.0191745867888024
"19","FF",7,"xa_fresh_m0",0.0571124914248957
"20","FF",7,"xa_fresh_m1",0.0868077465304589
"21","FF",7,"conc_fresh_VSd",54.1998363370465
"22","FF",7,"cum_inhib_meth_m0",0.890306796697653
"23","FF",7,"H2S_inhib_meth",0.922001564981783
"24","FF",7,"HAC_inhib",0.965236937891227
"25","SF",7,"slurry_mass_sum",313341.05932393
"26","SF",7,"slurry_mass_mean",27324.8493603055
"27","SF",7,"rut_m0",595.408845954079
"28","SF",7,"rut_m1",858.046300971052
"29","SF",7,"conc_fresh_S2",0.0313880956781466
"30","SF",7,"conc_fresh_SO4",0.131077008810016
"31","SF",7,"xa_fresh_m0",0.062535720909715
"32","SF",7,"xa_fresh_m1",0.0694448842837378
"33","SF",7,"conc_fresh_VSd",67.352416710498
"34","SF",7,"cum_inhib_meth_m0",0.794489063300958
"35","SF",7,"H2S_inhib_meth",0.84698360564847
"36","SF",7,"HAC_inhib",0.938935685771909
"37","ST",7,"slurry_mass_sum",318609.21545122
"38","ST",7,"slurry_mass_mean",28158.3262849354
"39","ST",7,"rut_m0",655.542144466175
"40","ST",7,"rut_m1",1068.08304966694
"41","ST",7,"conc_fresh_S2",0.0505795317915738
"42","ST",7,"conc_fresh_SO4",0.0937841486149188
"43","ST",7,"xa_fresh_m0",0.060612575814259
"44","ST",7,"xa_fresh_m1",0.0704074755368108
"45","ST",7,"conc_fresh_VSd",61.8301543098377
"46","ST",7,"cum_inhib_meth_m0",0.821928249391466
"47","ST",7,"H2S_inhib_meth",0.860459853320205
"48","ST",7,"HAC_inhib",0.956652450368339
