"alpha_opt","qhat_opt","C","FF","SF","ST"
0.2,0.2,19.4068599684663,8.85017356010763,2.49018514937677,3.46212730134181
0.3,0.3,32.2009193885314,14.3568258930114,3.81942984468822,5.33285922789953
0.5,0.5,58.1013455667071,27.3342604457814,6.65882104469048,9.38302958291379
0.7,0.7,87.0999231346205,40.3429109980638,9.76481709833475,13.9023273202581
0.9,0.9,125.450540530923,53.9188169754241,13.1649364753023,18.9396697101954
1,1,149.79153250413,61.4671173494509,14.9596261877361,21.6229198952533
1.25,1.25,236.60553430257,83.8057901058616,19.6714281727106,28.500859937743
1.5,1.5,417.582814860847,113.6397435643,24.602668405802,35.4746536970634
2,2,881.145558701544,237.706966092173,34.3716396831056,49.7348211506431
3,3,1356.27471174584,627.558268097923,54.4308131624814,84.1395507634118
4,4,1688.67204371734,858.937389449514,78.9713692089584,139.755427862934
5,5,1882.82392258107,1017.29141779962,113.840684514703,262.480229999436
0.2,1,144.451097120438,60.9691997170984,14.3847087088555,20.6906079110158
0.3,1,154.351186327815,63.3989973047169,14.5032469933629,20.8794508303575
0.5,1,163.766350752469,65.5708049268673,14.6923821092587,21.1751005379588
0.7,1,161.840855252361,64.7612800332597,14.8326938674682,21.3971062935335
0.9,1,153.937063695512,62.6053815440774,14.9262545175673,21.5641250012212
1,1,149.79153250413,61.4671173494509,14.9596261877361,21.6229198952533
1.25,1,140.258380737,58.7997365438921,15.0115546854209,21.7078085674844
1.5,1,132.112018299753,56.4369608106478,15.0333733785984,21.7301325878967
2,1,119.373991574538,52.5103802348505,15.0261237943656,21.6618708109713
3,1,102.930010174951,46.8881273736171,14.8412116027142,21.2716349445358
4,1,92.927336053922,43.064227626318,14.473495239029,20.7214336850226
5,1,86.2406828190245,40.2868517215714,14.0265930597862,20.1227833891087
1,0.2,19.2828174734691,9.11903116177364,2.56583589542972,3.56839908253878
1,0.3,30.1714712693769,14.448149090154,3.91706917654114,5.47053373245078
1,0.5,53.6817233782383,25.9783286316943,6.77311160565738,9.54595224698184
1,0.7,81.9800720929149,38.5826931165276,9.86068447473657,14.0405277066726
1,0.9,122.378313237576,53.0181396430088,13.1983906206384,18.9915192212003
1,1,149.79153250413,61.4671173494509,14.9596261877361,21.6229198952533
1,1.25,258.064566736191,88.6617533557284,19.6301836306473,28.3645798763346
1,1.5,450.631363638705,130.196634675659,24.6170077551085,35.2304887057792
1,2,652.55462782092,241.062202950101,34.9304629106802,49.4815368299656
1,3,699.318976559595,343.957005798946,57.3493146545908,84.1168933257015
1,4,707.740787556936,362.150427583705,83.8213506469495,126.522975623409
1,5,711.589654516271,370.208080316376,108.74887541048,162.439264549717
