"alpha_opt","qhat_opt","C","FF","SF","ST"
0.2,0.2,40.7363986704088,32.2260427159621,29.1620686764974,31.4101351368875
0.3,0.3,65.2313767054611,51.1755499852917,46.0181110264936,49.8632240937383
0.5,0.5,126.193184160957,96.9389428630814,85.8940575476035,93.3395604635296
0.7,0.7,211.683337603673,157.799825619188,135.287721425648,147.978661382611
0.9,0.9,341.353076153842,242.705605668152,198.005559699504,219.246223105049
1,1,434.897143395858,298.950077425776,236.225897624656,263.771925516541
1.25,1.25,668.358730632273,504.933449532843,361.777047897511,415.906160254069
1.5,1.5,757.407396992491,678.638214720514,559.904786273129,657.118224558414
2,2,943.286168212532,834.237940691011,869.340284613255,891.47187222432
3,3,1320.51470890266,1167.09716852293,1248.14535225139,1262.2116170297
4,4,1684.83660417668,1528.70056354235,1683.15354253085,1647.50255536711
5,5,1946.84556772304,1761.71533985292,1977.88585325428,1934.85370475624
0.2,1,339.738604957251,264.717505074999,202.776861297356,218.332470818109
0.3,1,374.507267897728,294.317404727979,228.778137982358,248.391381213004
0.5,1,433.308360030934,321.099594591056,251.613155482588,275.592558669083
0.7,1,451.605458191168,320.9994424257,252.436620371447,282.117547565341
0.9,1,443.821589956588,306.625443406649,241.519830667822,269.842840590216
1,1,434.897143395858,298.950077425776,236.225897624656,263.771925516541
1.25,1,407.544492791419,281.724354076192,224.270159802403,250.006239623572
1.5,1,384.144558850076,265.78391350873,213.908768174643,238.253708380322
2,1,348.506917187007,241.200141135589,196.081333723356,218.140708121874
3,1,304.245598884616,210.185374836913,171.762282686916,190.926874838335
4,1,278.193168329457,191.632281856571,156.742731622308,174.325276834656
5,1,261.182194041075,179.402085306525,146.624945449569,163.252921584077
1,0.2,36.6493899487614,28.4764853663198,26.8333633694397,28.6708200460782
1,0.3,59.099068688607,45.6440974112283,42.0163265673208,45.3681372164185
1,0.5,116.252540430691,88.377219435533,79.3709425553298,86.1501343072368
1,0.7,199.482619005195,148.026663446908,128.233563629296,140.180750423647
1,0.9,333.080065787755,237.225960182529,194.031996792018,214.748446605297
1,1,434.897143395858,298.950077425776,236.225897624656,263.771925516541
1,1.25,609.78768379749,511.148556404323,387.317688807188,442.501342176439
1,1.5,645.638450775996,559.132623981985,551.656414869497,569.952012984029
1,2,724.620264694689,615.562055106646,614.427909675764,630.545466552329
1,3,897.612389572898,764.977716582138,760.381724125864,767.651399734943
1,4,1033.5994073532,877.453353868528,859.653492146711,866.156516122019
1,5,1104.23921487689,934.33805820368,909.318464242546,919.301670852812
