"","treat","i","parm","scores"
"1","C",7,"slurry_mass_sum",394187.011973868
"2","C",7,"slurry_mass_mean",29385.4206868369
"3","C",7,"rut_m0",479.642908123676
"4","C",7,"rut_m1",1156.30914213313
"5","C",7,"conc_fresh_S2",0
"6","C",7,"conc_fresh_SO4",0
"7","C",7,"xa_fresh_m0",0.0476537111868498
"8","C",7,"xa_fresh_m1",0.0840474167468658
"9","C",7,"conc_fresh_VSd",46.7133763718018
"10","C",7,"cum_inhib_meth_m0",0.890467758170384
"11","C",7,"H2S_inhib_meth",0.94148936170211
"12","C",7,"HAC_inhib",0.944274983826191
"13","FF",7,"slurry_mass_sum",365398.347022268
"14","FF",7,"slurry_mass_mean",24964.6807247064
"15","FF",7,"rut_m0",465.193175884041
"16","FF",7,"rut_m1",890.580106211397
"17","FF",7,"conc_fresh_S2",0
"18","FF",7,"conc_fresh_SO4",0
"19","FF",7,"xa_fresh_m0",0.054718977700634
"20","FF",7,"xa_fresh_m1",0.0751721880592875
"21","FF",7,"conc_fresh_VSd",55.7160198492536
"22","FF",7,"cum_inhib_meth_m0",0.925200421023412
"23","FF",7,"H2S_inhib_meth",0.973387096774168
"24","FF",7,"HAC_inhib",0.950280112798839
"25","SF",7,"slurry_mass_sum",313341.05932393
"26","SF",7,"slurry_mass_mean",27324.8493603056
"27","SF",7,"rut_m0",558.775530334711
"28","SF",7,"rut_m1",795.334438930534
"29","SF",7,"conc_fresh_S2",0
"30","SF",7,"conc_fresh_SO4",0
"31","SF",7,"xa_fresh_m0",0.061583326243725
"32","SF",7,"xa_fresh_m1",0.066720808295213
"33","SF",7,"conc_fresh_VSd",67.9055983137762
"34","SF",7,"cum_inhib_meth_m0",0.946713495880061
"35","SF",7,"H2S_inhib_meth",0.983308042488344
"36","SF",7,"HAC_inhib",0.962825393877198
"37","ST",7,"slurry_mass_sum",316211.477327777
"38","ST",7,"slurry_mass_mean",27975.3684971412
"39","ST",7,"rut_m0",573.000446434194
"40","ST",7,"rut_m1",876.01798784195
"41","ST",7,"conc_fresh_S2",0
"42","ST",7,"conc_fresh_SO4",0
"43","ST",7,"xa_fresh_m0",0.0588905133454997
"44","ST",7,"xa_fresh_m1",0.0660536355825454
"45","ST",7,"conc_fresh_VSd",61.8699394662112
"46","ST",7,"cum_inhib_meth_m0",0.957848246898482
"47","ST",7,"H2S_inhib_meth",0.984810126582249
"48","ST",7,"HAC_inhib",0.97237923705929
