"alpha_opt","qhat_opt","C","FF","SF","ST"
0.1,0.1,10.7077377729073,11.4457373102072,14.7920829615997,14.7073669835186
0.2,0.2,24.9427071736924,25.940038773425,32.5334515892166,32.5363563658673
0.3,0.3,43.1751473472463,43.768552072974,53.3269649701997,53.746190865319
0.5,0.5,92.7617393305254,91.3519549397416,105.218548838863,107.807069026876
0.7,0.7,170.807385886726,162.261830786111,176.966243548703,184.180574010237
0.9,0.9,312.441861671499,275.280708457997,283.108053950639,300.245036740807
1,1,435.23284307049,360.896381534139,358.415402019753,384.087579466251
1.25,1.25,676.733367462619,621.647379092742,617.321219293208,642.285457076594
1.5,1.5,751.237518641914,708.989340547704,738.734756122695,755.794220822351
2,2,796.373367467457,862.133628034256,964.440584169392,974.112562316744
3,3,917.511101602171,1000.84585878993,1471.4698037347,1438.63790053208
4,4,958.10290583999,1113.44049217295,1896.10344403775,1803.18760967801
5,5,997.875672916805,1162.30946621748,2123.29093618397,1921.36430099801
0.1,1,91.1892936838945,96.9418359974964,132.729318138477,127.805299383369
0.2,1,162.729870078695,155.763101850384,186.945587285009,184.632532234635
0.3,1,228.265320345575,210.232392456921,236.346115918911,236.758828688555
0.5,1,344.316445696481,310.540518904702,322.062232930944,328.758194587807
0.7,1,443.692194158014,380.077243011575,368.704400365702,382.441986645939
0.9,1,458.035373265053,378.984591697591,371.591635868596,393.777841156248
1,1,435.23284307049,360.896381534139,358.415402019753,384.087579466251
1.25,1,367.497939001001,315.450795265975,326.613657242234,351.999251493961
1.5,1,319.910101137161,280.69091743115,300.681198817751,324.897313620592
2,1,260.848819754211,234.722788086871,261.996545885243,282.753424793426
3,1,203.77441360548,187.113479782746,217.506533658556,234.124681450712
4,1,176.674012485665,163.041640478315,192.807999623029,207.311289478998
5,1,161.174575282314,148.691348411364,177.152474939985,190.384873289092
1,0.1,9.2680780037393,10.0783682156193,13.7568133184726,13.7592318915919
1,0.2,20.8432512768071,22.2066803000586,29.5365279524264,29.715676903492
1,0.3,35.3794872215496,36.995876759015,47.8248851439749,48.4192027081169
1,0.5,77.161770359672,77.9365492294658,94.7849756565405,97.340226271015
1,0.7,148.625108120983,143.855397957176,163.604346600155,170.841372544451
1,0.9,293.621604211342,262.075362306699,273.735047081832,290.917165166156
1,1,435.23284307049,360.896381534139,358.415402019753,384.087579466251
1,1.25,582.530682432957,532.068997724556,546.122860686382,560.713271413994
1,1.5,558.589306089489,540.929593098222,586.260262516447,593.19256384039
1,2,515.939203826516,545.122455482186,669.136520665259,663.658540626757
1,3,542.868121855959,554.213088504495,797.199264565707,765.907781728073
1,4,567.901407282585,581.191275103851,831.436104570824,780.323391351623
1,5,579.455174912585,591.576558797734,828.121452010417,763.526644113707
