"treatment","mass_sd","mass.mean"
"control",1187.03154352731,4368.57578571429
"frequentflushing",119.131359279703,1269.53287114625
"slurryfunnels",17.3608215318197,590.902858398756
"slurrytrays",68.5638132146701,781.065649477519
