"period","treatment","temp_air","temp"
1,"control",21.5800419697818,19.9361714659686
1,"frequentflushing",21.7073382805937,20.6269764910753
1,"slurryfunnels",21.5165281276238,NA
1,"slurrytrays",21.6239675433688,NA
2,"control",20.2852452054795,19.6252637302882
2,"frequentflushing",20.6213309549945,19.14882131324
2,"slurryfunnels",20.2893077975376,NA
2,"slurrytrays",20.323901504788,NA
3,"control",19.0533952290594,17.6151302931596
3,"frequentflushing",19.2345597826087,17.3893286410395
3,"slurryfunnels",18.9573742864909,NA
3,"slurrytrays",18.9002824551874,NA
4,"control",19.2475826728614,16.9478791149487
4,"frequentflushing",19.4507911997814,17.3792384284177
4,"slurryfunnels",19.1440824685964,NA
4,"slurrytrays",19.1875696721311,NA
NA,"control",23.4152173913043,16.4208979591837
NA,"frequentflushing",22.7602941176471,16.5992892892893
NA,"slurryfunnels",22.1036363636364,NA
NA,"slurrytrays",22.1175,NA
