"variable","treatment","amn","s","n","amn.control","rel.red"
"CH4_rate","control",6.98207107856676,1.85910956424099,4,6.98207107856676,0
"CH4_rate","frequentflushing",4.34752211483999,0.484244503743113,4,6.98207107856676,37.7
"CH4_rate","slurryfunnels",2.5483473498343,0.330335705582828,4,6.98207107856676,63.5
"CH4_rate","slurrytrays",2.98820238387122,0.565116907172198,4,6.98207107856676,57.2
"CH4_emis_rate","control",4.97530920889253,1.76978009762672,4,4.97530920889253,0
"CH4_emis_rate","frequentflushing",2.34637761676639,0.451020719890502,4,4.97530920889253,52.8
"CH4_emis_rate","slurryfunnels",0.536187238860013,0.370964073165399,4,4.97530920889253,89.2
"CH4_emis_rate","slurrytrays",0.970661591596765,0.631727596956966,4,4.97530920889253,80.5
"NH3_emis_rate","control",4.8511147903711,1.13061711861231,4,4.8511147903711,0
"NH3_emis_rate","frequentflushing",6.12694650270738,0.657973547371479,4,4.8511147903711,-26.3
"NH3_emis_rate","slurryfunnels",3.45358558356876,1.04539530119864,4,4.8511147903711,28.8
"NH3_emis_rate","slurrytrays",3.55838742406102,1.91791930052646,4,4.8511147903711,26.6
"CO2E","control",1817.86007858159,91.745423115748,4,1817.86007858159,0
"CO2E","frequentflushing",1965.40967596473,170.440883175202,4,1817.86007858159,-8.1
"CO2E","slurryfunnels",1756.1521014154,55.5995272990206,4,1817.86007858159,3.4
"CO2E","slurrytrays",1782.91548811345,226.226310854827,4,1817.86007858159,1.9
"CO2_emis_rate","control",268.069999090873,102.638096301298,4,268.069999090873,0
"CO2_emis_rate","frequentflushing",416.954093138519,153.929773965607,4,268.069999090873,-55.5
"CO2_emis_rate","slurryfunnels",213.646630902144,63.077353072893,4,268.069999090873,20.3
"CO2_emis_rate","slurrytrays",231.394629307023,225.24624102461,4,268.069999090873,13.7
"H2S","control",1.00720497816967,0.231366691325766,2,1.00720497816967,0
"H2S","frequentflushing",0.525978085856241,0.111964988390632,2,1.00720497816967,47.8
"H2S","slurryfunnels",0.11195770693881,0.0141376818712936,2,1.00720497816967,88.9
"H2S","slurrytrays",0.304178781089897,0.215147983198551,2,1.00720497816967,69.8
"OAVE","control",1016.20841021415,138.326640550754,2,1016.20841021415,0
"OAVE","frequentflushing",1061.66277816194,179.899951079552,2,1016.20841021415,-4.5
"OAVE","slurryfunnels",719.680728154435,14.8646015449472,2,1016.20841021415,29.2
"OAVE","slurrytrays",786.619839653281,194.011363618334,2,1016.20841021415,22.6
