"treatment","ingested_N_g_per_pig_day_mean","ingested_N_g_per_pig_day_sd","excreted_N_g_per_pig_day_mean","excreted_N_g_per_pig_day_sd"
"control",70.2847277971065,5.47401545764067,39.0565110002729,4.83515090944357
"frequentflushing",70.5595437520551,4.3235079628719,38.7745774323567,4.09022814866961
"slurryfunnels",71.2202630090556,9.87658868248976,39.2269024382929,9.20577678580492
"slurrytrays",71.0617262924681,5.48314986519295,38.8582120343768,5.4993348570132
NA,NA,NA,NA,NA
