"treatment","mean_temp_air","mean_temp","std_temp_air","std_temp"
"control",20.7162964936973,18.1090685127098,1.81234629524267,1.58740422857668
"frequentflushing",20.7548628671251,18.2287308326124,1.49655596852809,1.63397229612278
"slurryfunnels",20.402185808777,NA,1.39818977513157,NA
"slurrytrays",20.4306442350951,NA,1.42899776474859,NA
